0.1, 5.525, 5,
0.2, 4.94487, 5,
0.3, 5.00579, 5,
0.4, 4.99939, 5,
0.5, 5.00006, 5,
0.6, 4.99999, 5,
0.7, 5, 5,
0.8, 5, 5,
0.9, 5, 5,
1, 5, 5,
1.1, 5, 5,
1.2, 5, 5,
1.3, 5, 5,
1.4, 5, 5,
1.5, 5, 5,
1.6, 5, 5,
1.7, 5, 5,
1.8, 5, 5,
1.9, 5, 5,
2, 5, 5,
2.1, 5, 5,
2.2, 5, 5,
2.3, 5, 5,
2.4, 5, 5,
2.5, 5, 5,
2.6, 5, 5,
2.7, 5, 5,
2.8, 5, 5,
2.9, 5, 5,
3, 5, 5,
3.1, 5, 5,
3.2, 5, 5,
3.3, 3.895, 4,
3.4, 4.01102, 4,
3.5, 3.99884, 4,
3.6, 4.00012, 4,
3.7, 3.99999, 4,
3.8, 4, 4,
3.9, 4, 4,
4, 4, 4,
4.1, 4, 4,
4.2, 4, 4,
4.3, 4, 4,
4.4, 4, 4,
4.5, 4, 4,
4.6, 4, 4,
4.7, 4, 4,
4.8, 4, 4,
4.9, 4, 4,
5, 4, 4,
5.1, 4, 4,
5.2, 4, 4,
5.3, 4, 4,
5.4, 4, 4,
5.5, 4, 4,
5.6, 4, 4,
5.7, 4, 4,
5.8, 4, 4,
5.9, 4, 4,
6, 4, 4,
6.1, 4, 4,
6.2, 4, 4,
6.3, 4, 4,
6.4, 4, 4,
6.5, 4, 4,
6.6, -2.63, -2,
6.7, -1.93385, -2,
6.8, -2.00695, -2,
6.9, -1.99927, -2,
7, -2.00008, -2,
7.1, -1.99999, -2,
7.2, -2, -2,
7.3, -2, -2,
7.4, -2, -2,
7.5, -2, -2,
7.6, -2, -2,
7.7, -2, -2,
7.79999, -2, -2,
7.89999, -2, -2,
7.99999, -2, -2,
8.09999, -2, -2,
8.2, -2, -2,
8.3, -2, -2,
8.4, -2, -2,
8.5, -2, -2,
8.6, -2, -2,
8.7, -2, -2,
8.8, -2, -2,
8.9, -2, -2,
9, -2, -2,
9.1, -2, -2,
9.2, -2, -2,
9.3, -2, -2,
9.4, -2, -2,
9.5, -2, -2,
9.6, -2, -2,
9.7, -2, -2,
9.8, -2, -2,
9.9, -2, -2,
10, -2, -2,
10.1, -2, -2,
10.2, 11.26, 10,
10.3, 9.8677, 10,
10.4, 10.0139, 10,
10.5, 9.99854, 10,
10.6, 10.0002, 10,
10.7, 9.99998, 10,
10.8, 10, 10,
10.9, 10, 10,
11, 10, 10,
11.1, 10, 10,
11.2, 10, 10,
11.3, 10, 10,
11.4, 10, 10,
11.5, 10, 10,
11.6, 10, 10,
11.7, 10, 10,
11.8, 10, 10,
11.9, 10, 10,
12, 10, 10,
12.1, 10, 10,
12.2, 10, 10,
12.3, 10, 10,
12.4, 10, 10,
12.5, 10, 10,
12.6, 10, 10,
12.7, 10, 10,
12.8, 10, 10,
12.9, 10, 10,
13, 10, 10,
13.1, 10, 10,
13.2, 10, 10,
13.3, 10, 10,
13.4, 10, 10,
13.5, 10, 10,
13.6, 10, 10,
13.7, 10, 10,
13.8, 10, 10,
13.9, 10, 10,
14, 10, 10,
14.1, 10, 10,
14.2, 10, 10,
14.3, 10, 10,
14.4, 10, 10,
14.5, 10, 10,
14.6, 10, 10,
14.7, 10, 10,
